Genus_species,common_name,status,group,tweet_count,endemic,nat_recovery_plan,subspecies,notes,,,,,,,,,,,,,,,,,
Hyridella glenelgensis,Glenelg Freshwater Mussel,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Mathewsoconcha grayi ms,Gray's Helicarionid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Mathewsoconcha phillipii,Phillip Island Helicarionid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Placostylus bivaricosus,"Lord Howe Flax Snail, Lord Howe Placostylus",endangered,other,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Micropathus kiernani,"Francistown Cave Cricket, Southern sandstone cave cricket",critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Mystivagor mastersi,Masters' Charopid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Ordtrachia septentrionalis,Rosewood Keeled Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Pseudocharopa ledgbirdi,Mount Lidgbird Charopid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Quintalia stoddartii,Stoddart's Helicarionid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Adclarkia cameroni,Brigalow Woodland Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Adclarkia dulacca,Dulacca Woodland Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Lissotes latidens,"Broad-toothed Stag Beetle, Wielangta Stag Beetle",endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Pommerhelix duralensis,Dural Land Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Sinumelon bednalli,Bednall's Land Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Trisyntopa scatophaga,Antbed Parrot Moth,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Hoplogonus simsoni,Simson's Stag Beetle,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Hoplogonus vanderschoori,Vanderschoor's Stag Beetle,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Kumonga exleyi,Cape Range Remipede,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Parvulastra vivipara,Tasmanian Live-bearing Seastar,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Engaeus yabbimunna,Burnie Burrowing Crayfish,vulnerable,other,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Mathewsoconcha suteri,a helicarionid land snail,critically endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Pseudocharopa whiteleggei,Whitelegge's Land Snail,critically endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Engaewa walpolea,Walpole Burrowing Crayfish,endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Mesodontrachia fitzroyana,Fitzroy Land Snail,endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Semotrachia euzyga,a land snail,endangered,other,1,Y,N,N,now called hairy desert snail?,,,,,,,,,,,,,,,,,
Engaewa reducta,Dunsborough Burrowing Crayfish,critically endangered,other,2,Y,N,N,,,,,,,,,,,,,,,,,,
Engaeus granulatus,Central North Burrowing Crayfish,endangered,other,2,Y,N,N,,,,,,,,,,,,,,,,,,
Idiosoma nigrum,"Shield-backed Trapdoor Spider, Black Rugose Trapdoor Spider",vulnerable,other,2,Y,N,N,,,,,,,,,,,,,,,,,,
Leioproctus douglasiellus,a short-tongued bee,critically endangered,other,3,Y,N,N,,,,,,,,,,,,,,,,,,
Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",endangered,other,3,Y,N,N,,,,,,,,,,,,,,,,,,
Oreixenica ptunarra,"Ptunarra Brown, Ptunarra Brown Butterfly, Ptunarra Xenica",endangered,other,4,Y,N,N,,,,,,,,,,,,,,,,,,
Nangura spinosa,Nangur Spiny Skink,critically endangered,reptile,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Oligosoma lichenigera,Lord Howe Island Skink,vulnerable,reptile,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Bellatorias obiri,Arnhem Land Egernia,endangered,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Tympanocryptis condaminensis,Condamine Earless Dragon,endangered,reptile,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Ramphotyphlops exocoeti,"Christmas Island Blind Snake, Christmas Island Pink Blind Snake",vulnerable,reptile,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Ctenotus angusticeps,Airlie Island Ctenotus,vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko",vulnerable,reptile,3,Y,Y,N,,,,,,,,,,,,,,,,,,
Delma mitella,"Atherton Delma, Legless Lizard",vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Lerista vittata,Mount Cooper Striped Lerista,vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Furina dunmalli,Dunmall's Snake,vulnerable,reptile,1,Y,N,N,,,,,,,,,,,,,,,,,,
Uvidicolus sphyrurus,"Border Thick-tailed Gecko, Granite Belt Thick-tailed Gecko",vulnerable,reptile,1,Y,N,N,,,,,,,,,,,,,,,,,,
Aipysurus foliosquama,Leaf-scaled Seasnake,critically endangered,reptile,2,Y,N,N,,,,,,,,,,,,,,,,,,
Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,vulnerable,reptile,2,Y,N,N,,,,,,,,,,,,,,,,,,
Aipysurus apraefrontalis,Short-nosed Seasnake,critically endangered,reptile,3,Y,N,N,,,,,,,,,,,,,,,,,,
Acanthophis hawkei,Plains Death Adder,vulnerable,reptile,3,Y,N,N,,,,,,,,,,,,,,,,,,
Delma torquata,"Adorned Delma, Collared Delma",vulnerable,reptile,3,Y,N,N,,,,,,,,,,,,,,,,,,
Lucasium occultum,"Yellow-snouted Gecko, Yellow-snouted Ground Gecko",endangered,reptile,4,Y,N,N,,,,,,,,,,,,,,,,,,
Ctenotus lancelini,Lancelin Island Skink,vulnerable,reptile,4,Y,N,N,,,,,,,,,,,,,,,,,,
